date,cap
9/5/2017,68450.9
9/6/2017,68420.6
9/7/2017,68440.2
9/8/2017,68430.7
9/9/2017,68453.4
9/10/2017,68461.3
9/11/2017,68513
9/12/2017,68483.2
9/13/2017,68472.5
9/14/2017,68431.6
9/15/2017,68431.4
9/16/2017,68441.2
9/17/2017,68410.9
9/18/2017,68380.5
9/19/2017,68360.5
9/20/2017,68360.2
9/21/2017,68310.3
9/22/2017,68260.1
9/23/2017,68300.2
9/24/2017,68252.6
9/25/2017,68272.7
9/26/2017,68230.5
9/27/2017,68260.3
9/28/2017,68240.2
9/29/2017,68221
9/30/2017,68371.1
10/1/2017,68381.4
10/2/2017,68381.4
10/3/2017,68380.9
10/4/2017,68410.4
10/5/2017,68390.1
10/6/2017,68379.6
10/7/2017,68361.8
10/8/2017,68351.6
10/9/2017,68339.3
10/10/2017,68323.4
10/11/2017,68263.9
10/12/2017,68264.5
10/13/2017,68275.7
10/14/2017,68271.8
10/15/2017,68231.1
10/16/2017,68240.8
10/17/2017,68220.6
10/18/2017,68210.5
10/19/2017,68190.7
10/20/2017,68141.2
10/21/2017,68192.6
10/22/2017,68205.8
10/23/2017,68183.3
10/24/2017,68142.5
10/25/2017,68141.8
10/26/2017,68131.6
10/27/2017,68121.4
10/28/2017,68111.3
10/29/2017,68081.1
10/30/2017,68081
10/31/2017,68103.6
11/1/2017,68134.2
11/2/2017,68134.2
11/3/2017,68103.2
11/4/2017,68102.3
11/5/2017,68041.5
11/6/2017,68031.1
11/7/2017,68000.9
11/8/2017,67980.4
11/9/2017,67960.4
11/10/2017,67950.8
11/11/2017,67991.4
11/12/2017,67952.2
11/13/2017,67922.3
11/14/2017,67961.6
11/15/2017,67931
11/16/2017,67890.8
11/17/2017,67893
11/18/2017,67853.1
11/19/2017,67850.5
11/20/2017,67810.6
11/21/2017,67871
11/22/2017,67861.2
11/23/2017,67841.8
11/24/2017,67851.2
11/25/2017,67823.2
11/26/2017,67820.6
11/27/2017,67790.6
11/28/2017,67790.5
11/29/2017,67760.3
11/30/2017,67730
12/1/2017,67741.4
12/2/2017,67783.9
12/3/2017,67803.8
12/4/2017,67813.1
12/5/2017,67791.7
12/6/2017,67793.4
12/7/2017,67762.7
12/8/2017,67690
12/9/2017,67659.7
12/10/2017,67689.6
12/11/2017,67659.7
12/12/2017,67743.5
12/13/2017,67764.5
12/14/2017,67764.3
12/15/2017,67773.3
12/16/2017,67741.9
12/17/2017,67691.1
12/18/2017,67660.6
12/19/2017,67650.2
12/20/2017,67609.9
12/21/2017,67569.9
12/22/2017,67561.3
12/23/2017,67602.9
12/24/2017,67643.5
12/25/2017,67623.8
12/26/2017,67634.5
12/27/2017,67611.1
12/28/2017,67590.8
12/29/2017,67560.6
12/30/2017,67550.2
12/31/2017,67520
1/1/2018,67530.2
1/2/2018,67474.9
1/3/2018,67534
1/4/2018,67564.1
1/5/2018,67553.6
1/6/2018,67521.7
1/7/2018,67460.9
1/8/2018,67451
1/9/2018,67462.7
1/10/2018,67420.1
1/11/2018,67430.5
1/12/2018,67391.3
1/13/2018,67434.8
1/14/2018,67542.2
1/15/2018,67462.8
1/16/2018,67512.9
1/17/2018,67513.8
1/18/2018,67493.9
1/19/2018,67476.3
1/20/2018,67482.5
